dataset,category,case_name,delta_iou_frangi_minus_baseline,lab_cstar_p99_minus_p1_delta_e,lab_astar_p99_minus_p1,lab_bstar_p99_minus_p1,hsv_saturation_p99_minus_p1,log_chroma_pc1_p99_minus_p1,dark_pixel_fraction
khanhha_original,gain_baseline,cracktree200_6266.jpg,-0.16966789327720116,0.049410589039325714,0.046875,0.015625,0.0,0.0,0.0
khanhha_noisy1,gain_baseline,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,3.7110607624053955,3.390625,6.75,0.23809486627578735,0.2457670576988499,0.0038151577503429354
khanhha_noisy2,gain_baseline,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,9.387907981872559,6.203125,15.928906440734863,0.19474194943904877,0.26954964647688007,0.0
road420,gain_baseline,2023_10_30_16_44_IMG_6033.jpg,-0.6802705315293878,4.699172496795654,2.421875,6.5,0.11069762706756592,0.11479201811475219,0.00019290123456790122
facade390,gain_baseline,DJ_Wall_231.JPG,-0.4563664418790719,11.520492553710938,6.984375,11.296875,0.23828944563865662,0.2497632079771753,0.0
concrete3k,gain_baseline,128_23.jpg,-0.8669950738916257,2.9505231380462646,3.71875,3.828125,0.07336091995239258,0.07001208947120705,0.0
khanhha_original,gain_frangi,Sylvie_Chambon_319.jpg,0.3159839802716249,18.250896453857422,8.444531440734863,26.109375,0.32619041204452515,0.4177139814194636,0.0
khanhha_noisy1,gain_frangi,CRACK500_20160329_093924_1921_721.jpg,0.7538132793037708,3.952214241027832,3.59375,5.9375,0.9999696016311646,0.27494768175241946,0.0830761316872428
khanhha_noisy2,gain_frangi,Volker_DSC01646_226_19_1273_1645.jpg,0.6845425867507886,2.9716269969940186,2.625,3.8125,0.04545452818274498,0.05648074072947463,0.0
road420,gain_frangi,2023_11_01_20_33_IMG_6353.jpg,0.4953818941200306,4.3079514503479,2.788281202316284,4.5,0.9818029999732971,0.3266168162807379,0.2283736282578875
facade390,gain_frangi,DJ_Wall_66.JPG,0.5394883203559511,5.931514263153076,4.171875,8.015625,0.2777773439884186,0.2923578584625564,0.011445473251028807
concrete3k,gain_frangi,224_37.jpg,0.9160935350756534,3.7397210597991943,4.15625,4.210156440734863,0.08308355510234833,0.07178429798577195,0.0
