group,variant,cases,mean_average_precision_tolerant_r2,mean_mass_near_target_r2,mean_top_target_count_precision_r2,mean_target_coverage_r2,mean_weighted_distance_px,mean_response_sum,mean_active_fraction
failures,luminance,6,0.32509412996741255,0.2579358754512199,0.41654620806869885,0.560084993367452,51.05142513910929,2523.469197591146,0.1880429812528578
failures,lab_cstar_dark,6,0.09912279940090842,0.12941371974667656,0.11544538342026907,0.16620456048447305,65.01767349243164,1932.6961364746094,0.193365626428898
failures,lab_cstar_bipolar,6,0.11848124877793403,0.11762806875735858,0.1577768997956257,0.23937590500997466,67.28580220540364,3860.0439656575522,0.28779435299497025
failures,lab_astar_bipolar,6,0.15269047677665762,0.1297191650845221,0.25166592114845615,0.3363749723773512,62.72469482421875,2815.2074381510415,0.2133809156378601
failures,lab_bstar_bipolar,6,0.09255759264058917,0.09392989236762044,0.10694281863147621,0.2108982664621386,71.08727493286133,3917.070271809896,0.21760688157293095
failures,lab_ab_opponent,6,0.11655860978587738,0.10593488903817987,0.1588408118285063,0.28194038781817593,67.35904998779297,5918.808268229167,0.3528127857796068
failures,hsv_saturation_bipolar,6,0.24137961007242606,0.1660010226920666,0.25754657794141367,0.31854939480719996,63.339607620239256,2482.883371988932,0.24908907750342935
failures,log_chroma_pc1_bipolar,6,0.1383357993718168,0.12693968385918006,0.15685050112343724,0.23280162572559182,65.89027633666993,4279.882161458333,0.271019090077732
gains,luminance,6,0.31275480326937916,0.2412436810185622,0.351655503675,0.4203478788005977,65.49874560038249,2596.097646077474,0.1436078246456333
gains,lab_cstar_dark,6,0.06103141287791699,0.06010403767114083,0.0762535060881389,0.1228747354990856,76.07081540425618,1901.367940266927,0.1615083447645176
gains,lab_cstar_bipolar,6,0.050375284294485095,0.048822999186181326,0.040047908369352674,0.06642573943946252,77.66833941141765,3921.8409423828125,0.2455168324188386
gains,lab_astar_bipolar,6,0.04798596962099374,0.01987055568962136,0.031181617781469023,0.08962058262250405,84.85371589660645,2571.2912394205728,0.19374071216278008
gains,lab_bstar_bipolar,6,0.045651916504479355,0.0400344282515464,0.02530882222904365,0.05292801580167759,86.46625645955403,3771.5929361979165,0.2236689814814815
gains,lab_ab_opponent,6,0.04667715365040546,0.033923867777227355,0.02451137376434885,0.08457237730445692,85.87120564778645,5305.1494140625,0.32334533607681754
gains,hsv_saturation_bipolar,6,0.10813635375414184,0.05880398121557678,0.11949092754366815,0.2721237691888478,77.65513865152995,4383.118570963542,0.2753236454046639
gains,log_chroma_pc1_bipolar,6,0.059462019003387385,0.04611810285582648,0.05318107734634187,0.12154024744086855,81.51686604817708,6044.8216552734375,0.3014081790123457
all,luminance,12,0.31892446661839585,0.249589778234891,0.3841008558718495,0.4902164360840248,58.27508536974589,2559.78342183431,0.16582540294924555
all,lab_cstar_dark,12,0.08007710613941271,0.09475887870890869,0.09584944475420398,0.14453964799177935,70.54424444834392,1917.0320383707683,0.1774369855967078
all,lab_cstar_bipolar,12,0.08442826653620956,0.08322553397176995,0.09891240408248919,0.15290082222471862,72.47707080841064,3890.942454020182,0.2666555927069045
all,lab_astar_bipolar,12,0.10033822319882568,0.07479486038707173,0.14142376946496257,0.21299777749992763,74.79506995461203,2693.249338785807,0.20356081390032008
all,lab_bstar_bipolar,12,0.06910475457253427,0.0669821603095834,0.06612582043025993,0.13191314113190808,79.47581031105734,3844.3316040039062,0.22063793152720626
all,lab_ab_opponent,12,0.08161788171814142,0.06992937840770361,0.09167609279642756,0.18325638256131646,77.45658943869851,5611.978841145833,0.3380790609282122
all,hsv_saturation_bipolar,12,0.17475798191328396,0.11240250195382168,0.1885187527425409,0.2953365819980239,71.14807909185237,3433.000971476237,0.26220636145404663
all,log_chroma_pc1_bipolar,12,0.09889890918760212,0.08652889335750329,0.10501578923488956,0.17717093658323022,74.41387072476473,5162.351908365886,0.28621363454503884
